ad_id,campaign_id,fb_campaign_id,age,gender,Shares,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion,Date,State,Sale Amount,Ad Manager,Ad_group,Campaign 
35125,312,108774,35-39,F,10,5024,1,1.409999967,1,1,2/24/2015,New York,9.99,Jess,Ad Group E,Campaign 1
35139,312,108776,35-39,F,16,104648,24,33.33000004,4,2,2/25/2015,California,9.99,Tina,Ad Group A,Campaign 3
35168,312,108781,35-39,F,22,8504,3,3.340000093,1,1,2/26/2015,Oregon,9.99,Tina,Ad Group B,Campaign 2
35199,312,108786,35-39,F,27,20277,6,8.050000072,1,0,2/27/2015,Washington,9.99,Jess,Ad Group D,Campaign 1
35214,312,108788,35-39,F,29,12403,4,5.210000038,1,1,2/28/2015,New York,9.99,Tom,Ad Group D,Campaign 1
35340,312,108809,40-44,F,26,6907,2,2.349999964,1,0,3/1/2015,Oregon,9.99,Jess,Ad Group B,Campaign 2
35343,312,108810,40-44,F,27,39035,13,19.32999957,1,0,3/2/2015,Washington,9.99,Tom,Ad Group D,Campaign 1
35384,312,108817,40-44,F,63,4412,1,1.450000048,1,0,3/3/2015,California,9.99,Jess,Ad Group D,Campaign 1
35389,312,108818,40-44,F,64,9965,3,4.050000072,1,0,3/4/2015,Georgia,9.99,Tina,Ad Group A,Campaign 3
35413,312,108822,45-49,F,10,73634,23,32.97999978,1,0,3/5/2015,Washington,9.99,Tina,Ad Group E,Campaign 1
35420,312,108823,45-49,F,15,69708,20,31.28999949,1,0,3/6/2015,New York,9.99,Jess,Ad Group A,Campaign 3
35447,312,108827,45-49,F,20,14257,6,8.789999962,1,0,3/7/2015,Florida,9.99,Tom,Ad Group B,Campaign 2
35489,312,108834,45-49,F,27,20362,5,9.119999886,1,1,3/8/2015,Illinois,9.99,Jess,Ad Group D,Campaign 1
35490,312,108834,45-49,F,27,12215,4,6.26000011,1,0,3/9/2015,Washington,9.99,Tom,Ad Group D,Campaign 1
35498,312,108836,45-49,F,29,85412,28,38.63999999,2,1,3/10/2015,South Carolina,9.99,Jess,Ad Group B,Campaign 2
37069,312,109448,30-34,M,2,2338,1,0.239999995,1,0,3/11/2015,California,9.99,Tina,Ad Group D,Campaign 1
37188,312,109472,30-34,M,28,3891,1,1.090000033,1,0,3/12/2015,California,9.99,Tina,Ad Group D,Campaign 1
37330,312,109507,35-39,M,16,11199,2,2.680000067,1,0,3/13/2015,Texas,9.99,Jess,Ad Group A,Campaign 3
37520,312,109553,35-39,M,63,5676,2,3.00999999,1,0,3/14/2015,Florida,9.99,Tom,Ad Group E,Campaign 1
37724,312,109601,40-44,M,30,2148,1,1.580000043,1,1,3/15/2015,Washington,9.99,Jess,Ad Group A,Campaign 3
37844,312,109629,45-49,M,16,45401,10,14.06000042,1,0,3/16/2015,New York,9.99,Tom,Ad Group B,Campaign 2
37857,312,109633,45-49,M,18,7478,2,2.900000095,1,1,3/17/2015,California,9.99,Jess,Ad Group D,Campaign 1
37858,312,109633,45-49,M,18,4919,1,1.590000033,1,0,3/18/2015,Oregon,9.99,Tina,Ad Group D,Campaign 1
38096,312,109689,30-34,F,16,17553,3,4.590000153,1,0,3/19/2015,California,9.99,Tina,Ad Group B,Campaign 2
38131,312,109698,30-34,F,20,3343,1,0.540000021,1,0,3/20/2015,Oregon,9.99,Jess,Ad Group D,Campaign 1
38206,312,109717,30-34,F,27,34740,7,13.41000009,1,1,3/21/2015,Texas,9.99,Tom,Ad Group D,Campaign 1
38507,312,109788,35-39,F,31,3010,1,0.860000014,1,1,3/22/2015,Washington,9.99,Jess,Ad Group A,Campaign 3
38589,312,109808,40-44,F,10,27081,9,10.77000046,1,1,3/23/2015,New York,9.99,Tom,Ad Group E,Campaign 1
38608,312,109813,40-44,F,16,20233,4,5.590000153,3,0,3/24/2015,California,9.99,Jess,Ad Group A,Campaign 3
38613,312,109813,40-44,F,16,147159,36,58.16000044,3,1,3/25/2015,Oregon,9.99,Tina,Ad Group B,Campaign 2
38623,312,109816,40-44,F,18,21664,7,10.61999977,1,1,3/26/2015,Main,9.99,Tina,Ad Group D,Campaign 1
38636,312,109820,40-44,F,19,9112,4,5.460000038,1,1,3/27/2015,New York,9.99,Jess,Ad Group D,Campaign 1
38782,312,109848,45-49,F,10,46150,15,20.17999983,1,1,3/28/2015,South Carolina,9.99,Tom,Ad Group B,Campaign 2
38792,312,109850,45-49,F,16,493821,116,176.3799977,4,1,3/29/2015,California,9.99,Jess,Ad Group D,Campaign 1
38793,312,109850,45-49,F,16,92011,27,34.39000046,2,1,3/30/2015,California,9.99,Tom,Ad Group D,Campaign 1
38798,312,109851,45-49,F,18,12956,4,5.49000001,1,1,3/31/2015,Texas,9.99,Jess,Ad Group A,Campaign 3
38837,312,109857,45-49,F,24,944,1,1.419999957,1,0,4/1/2015,Florida,9.99,Tina,Ad Group E,Campaign 1
38848,312,109859,45-49,F,26,111090,38,51.97000027,5,1,4/2/2015,Washington,9.99,Tina,Ad Group A,Campaign 3
47412,312,110836,30-34,M,10,7208,2,3.190000057,1,0,4/3/2015,New York,9.99,Jess,Ad Group B,Campaign 2
47422,312,110838,30-34,M,16,12489,2,1.960000038,1,0,4/4/2015,California,9.99,Tom,Ad Group D,Campaign 1
47423,312,110838,30-34,M,16,8032,1,0.600000024,2,0,4/5/2015,Oregon,9.99,Jess,Ad Group D,Campaign 1
47562,312,110861,35-39,M,15,4607,1,1.149999976,1,1,4/6/2015,California,9.99,Tom,Ad Group B,Campaign 2
47569,312,110862,35-39,M,16,13355,2,3.180000067,1,1,4/7/2015,Oregon,9.99,Jess,Ad Group D,Campaign 1
47601,312,110867,35-39,M,22,2793,1,0.980000019,1,1,4/8/2015,Texas,9.99,Tina,Ad Group D,Campaign 1
47689,312,110882,40-44,M,2,4016,2,1.480000049,1,1,4/9/2015,Washington,9.99,Tina,Ad Group A,Campaign 3
47714,312,110886,40-44,M,16,14843,3,2.939999938,1,1,4/10/2015,New York,9.99,Jess,Ad Group E,Campaign 1
47845,312,110908,45-49,M,10,9674,3,4.600000024,1,1,4/11/2015,California,9.99,Tom,Ad Group A,Campaign 3
47859,312,110910,45-49,M,16,12186,2,2.669999957,1,0,4/12/2015,Oregon,9.99,Jess,Ad Group B,Campaign 2
47991,312,110932,30-34,F,10,31393,8,10.96000051,1,1,4/13/2015,Main,9.99,Tom,Ad Group D,Campaign 1
47995,312,110933,30-34,F,15,8410,2,2.359999895,1,1,4/14/2015,New York,9.99,Jess,Ad Group D,Campaign 1
47998,312,110934,30-34,F,16,25884,5,7.350000143,1,0,4/15/2015,South Carolina,9.99,Tina,Ad Group B,Campaign 2
48028,312,110939,30-34,F,22,28488,10,9.340000033,1,0,4/16/2015,California,9.99,Tina,Ad Group D,Campaign 1
48052,312,110943,30-34,F,26,10126,3,4.619999886,1,0,4/17/2015,California,9.99,Jess,Ad Group D,Campaign 1
48059,312,110944,30-34,F,27,22572,5,8.5,1,0,4/18/2015,Texas,9.99,Tom,Ad Group A,Campaign 3
48191,312,110966,35-39,F,25,4868,2,2.420000076,1,0,4/19/2015,Florida,9.99,Jess,Ad Group E,Campaign 1
48200,312,110967,35-39,F,26,6585,2,2.950000048,1,0,4/20/2015,Washington,9.99,Tom,Ad Group A,Campaign 3
48207,312,110968,35-39,F,27,10164,2,3.720000029,1,1,4/21/2015,New York,9.99,Jess,Ad Group B,Campaign 2
48214,312,110970,35-39,F,29,11182,4,4.449999809,1,0,4/22/2015,California,9.99,Tina,Ad Group D,Campaign 1
48286,312,110982,40-44,F,16,34127,8,13.07000017,1,0,4/23/2015,Oregon,9.99,Tina,Ad Group D,Campaign 1
48287,312,110982,40-44,F,16,29466,7,10.84999967,2,0,4/24/2015,California,9.99,Jess,Ad Group B,Campaign 2
48289,312,110982,40-44,F,16,38759,9,10.84999967,1,0,4/25/2015,Oregon,9.99,Tom,Ad Group D,Campaign 1
48291,312,110982,40-44,F,16,41720,10,12.06000006,1,1,4/26/2015,Texas,9.99,Jess,Ad Group D,Campaign 1
48425,312,111005,45-49,F,15,18602,5,8.860000134,1,0,4/27/2015,Washington,9.99,Tom,Ad Group A,Campaign 3
48430,312,111006,45-49,F,16,83929,21,27.72999954,4,1,4/28/2015,New York,9.99,Jess,Ad Group E,Campaign 1
48431,312,111006,45-49,F,16,25194,6,7.349999905,1,0,4/29/2015,California,9.99,Tina,Ad Group A,Campaign 3
48433,312,111006,45-49,F,16,78627,19,26.53000045,1,0,4/30/2015,Oregon,9.99,Tina,Ad Group B,Campaign 2
48435,312,111006,45-49,F,16,102695,25,39.42999983,3,0,5/1/2015,Main,9.99,Jess,Ad Group D,Campaign 1
48494,312,111016,45-49,F,27,82827,24,47.93000031,3,0,5/2/2015,New York,9.99,Tom,Ad Group D,Campaign 1
48495,312,111016,45-49,F,27,9240,3,6.039999962,1,0,5/3/2015,South Carolina,9.99,Jess,Ad Group B,Campaign 2
48503,312,111018,45-49,F,29,7706,2,2.369999886,1,0,5/4/2015,California,9.99,Tom,Ad Group D,Campaign 1
48514,312,111020,45-49,F,31,7821,4,6.340000153,1,1,5/5/2015,California,9.99,Jess,Ad Group D,Campaign 1
76522,312,115485,45-49,F,16,119063,34,53.21999949,1,0,5/6/2015,Texas,9.99,Tina,Ad Group A,Campaign 3
76523,312,115485,45-49,F,16,99078,23,35.79999948,2,0,5/7/2015,Florida,9.99,Tina,Ad Group E,Campaign 1
76525,312,115485,45-49,F,16,452398,114,180.2200012,1,0,5/8/2015,Washington,9.99,Jess,Ad Group A,Campaign 3
76534,312,115487,45-49,F,10,191223,48,76.41000056,1,0,5/9/2015,New York,9.99,Tom,Ad Group B,Campaign 2
76536,312,115487,45-49,F,10,22216,6,9.549999952,1,0,5/10/2015,California,9.99,Jess,Ad Group D,Campaign 1
76538,312,115487,45-49,F,10,48291,11,18.01999998,1,0,5/11/2015,Oregon,9.99,Tom,Ad Group D,Campaign 1
76553,312,115490,40-44,F,63,27559,8,13.37,1,0,5/12/2015,California,9.99,Jess,Ad Group B,Campaign 2
76573,312,115493,45-49,F,25,10194,4,4.590000033,2,1,5/13/2015,Oregon,9.99,Tina,Ad Group D,Campaign 1
76605,312,115498,45-49,F,21,40126,16,25.86000001,1,0,5/14/2015,Texas,9.99,Tina,Ad Group D,Campaign 1
76616,312,115500,45-49,F,19,3659,1,0.49000001,1,1,5/15/2015,Washington,9.99,Jess,Ad Group A,Campaign 3
76664,312,115508,45-49,F,29,7550,1,1.679999948,1,1,5/16/2015,New York,9.99,Tom,Ad Group E,Campaign 1
76669,312,115509,45-49,F,28,45397,15,25.41999312,1,1,5/17/2015,California,9.99,Jess,Ad Group A,Campaign 3
76673,312,115510,30-34,M,16,23086,2,3.310000062,1,1,5/18/2015,Oregon,9.99,Tom,Ad Group B,Campaign 2
76675,312,115510,30-34,M,16,16425,1,1.549999952,1,0,5/19/2015,Main,9.99,Jess,Ad Group D,Campaign 1
76676,312,115510,30-34,M,16,43756,5,5.439999938,0,0,5/20/2015,New York,9.99,Tina,Ad Group D,Campaign 1
76689,312,115512,45-49,F,26,175389,55,81.60999787,1,0,5/21/2015,South Carolina,9.99,Tina,Ad Group B,Campaign 2
76715,312,115517,45-49,F,65,12706,3,4.98999989,1,1,5/22/2015,California,9.99,Jess,Ad Group D,Campaign 1
76719,312,115517,45-49,F,65,70702,20,31.7099998,1,0,5/23/2015,California,9.99,Tom,Ad Group D,Campaign 1
76733,312,115520,45-49,F,63,63927,16,25.52000046,2,0,5/24/2015,Texas,9.99,Jess,Ad Group A,Campaign 3
76734,312,115520,45-49,F,63,15105,3,4.25999999,1,0,5/25/2015,Florida,9.99,Tom,Ad Group E,Campaign 1
76738,312,115521,30-34,F,15,8774,1,1.830000043,1,0,5/26/2015,Washington,9.99,Jess,Ad Group A,Campaign 3
76751,312,115523,30-34,F,16,14459,1,1.389999986,1,0,5/27/2015,New York,9.99,Tina,Ad Group B,Campaign 2
76752,312,115523,30-34,F,16,21596,2,2.809999943,1,0,5/28/2015,California,9.99,Tina,Ad Group D,Campaign 1
76753,312,115523,30-34,F,16,66765,8,11.04999971,1,0,5/29/2015,Oregon,9.99,Jess,Ad Group D,Campaign 1
76779,312,115527,30-34,F,10,26910,5,7.229999781,1,0,5/30/2015,California,9.99,Tom,Ad Group B,Campaign 2
76815,312,115533,45-49,M,63,11988,3,4.269999862,1,0,5/31/2015,Oregon,9.99,Jess,Ad Group D,Campaign 1
76823,312,115535,45-49,M,64,19353,6,9.4799999,1,1,6/1/2015,Texas,9.99,Tom,Ad Group D,Campaign 1
76831,312,115536,40-44,M,29,10960,2,2.890000105,1,0,6/2/2015,Washington,9.99,Jess,Ad Group A,Campaign 3
76843,312,115538,30-34,M,15,33491,6,10.56999969,2,1,6/3/2015,New York,9.99,Tina,Ad Group E,Campaign 1
76844,312,115538,30-34,M,15,20083,2,3.200000048,2,1,6/4/2015,California,9.99,Tina,Ad Group A,Campaign 3
76861,312,115541,30-34,M,16,15466,1,0.970000029,1,0,6/5/2015,Oregon,9.99,Jess,Ad Group B,Campaign 2
76862,312,115541,30-34,M,16,27072,3,4.370000005,1,0,6/6/2015,Main,9.99,Tom,Ad Group D,Campaign 1
76863,312,115541,30-34,M,16,15753,1,0.569999993,1,1,6/7/2015,New York,9.99,Jess,Ad Group D,Campaign 1
76868,312,115542,40-44,M,19,3523,1,1.809999943,1,1,6/8/2015,South Carolina,9.99,Tom,Ad Group B,Campaign 2
76886,312,115545,40-44,M,16,18709,2,3.319999933,1,0,6/9/2015,California,9.99,Jess,Ad Group D,Campaign 1
76896,312,115547,30-34,M,10,7966,1,1.179999948,1,1,6/10/2015,California,9.99,Tina,Ad Group D,Campaign 1
76898,312,115547,30-34,M,10,12785,3,4.730000019,2,1,6/11/2015,Texas,9.99,Tina,Ad Group A,Campaign 3
76899,312,115547,30-34,M,10,8213,1,1.379999995,1,1,6/12/2015,Florida,9.99,Jess,Ad Group E,Campaign 1
76925,312,115552,40-44,M,23,2479,1,1.25999999,1,0,6/13/2015,Washington,9.99,Tom,Ad Group A,Campaign 3
76980,312,115561,40-44,M,2,3812,2,3.049999952,1,0,6/14/2015,New York,9.99,Jess,Ad Group B,Campaign 2
76999,312,115564,45-49,M,20,10257,3,3.579999924,1,1,6/15/2015,California,9.99,Tom,Ad Group D,Campaign 1
77017,312,115567,40-44,M,10,12356,4,6.279999971,1,0,6/16/2015,Oregon,9.99,Jess,Ad Group D,Campaign 1
77025,312,115568,45-49,M,18,7410,1,1.210000038,1,0,6/17/2015,California,9.99,Tina,Ad Group B,Campaign 2
77029,312,115569,45-49,M,16,140098,28,46.63000011,1,0,6/18/2015,Oregon,9.99,Tina,Ad Group D,Campaign 1
77031,312,115569,45-49,M,16,107021,20,34.44000012,1,0,6/19/2015,Texas,9.99,Jess,Ad Group D,Campaign 1
77040,312,115571,35-39,M,36,2797,1,1.289999962,1,0,6/20/2015,Washington,9.99,Tom,Ad Group A,Campaign 3
77061,312,115574,45-49,M,7,16461,6,9.21999979,1,0,6/21/2015,New York,9.99,Jess,Ad Group E,Campaign 1
77092,312,115580,40-44,M,63,17488,5,7.719999909,1,0,6/22/2015,California,9.99,Tom,Ad Group A,Campaign 3
77128,312,115586,35-39,M,10,9750,2,1.5,1,1,6/23/2015,Oregon,9.99,Jess,Ad Group B,Campaign 2
77305,312,115615,45-49,M,63,4333,1,0.180000007,1,1,6/24/2015,Main,9.99,Tina,Ad Group D,Campaign 1
77387,312,115629,40-44,M,27,11292,3,5.389999866,1,1,6/25/2015,New York,9.99,Tina,Ad Group D,Campaign 1
77398,312,115631,30-34,M,64,12729,4,5.779999852,1,0,6/26/2015,South Carolina,9.99,Jess,Ad Group B,Campaign 2
77435,312,115637,30-34,M,65,2883,1,0.99000001,1,1,6/27/2015,California,9.99,Tom,Ad Group D,Campaign 1
77448,312,115639,30-34,F,7,3989,1,1.279999971,1,0,6/28/2015,California,9.99,Jess,Ad Group D,Campaign 1
77461,312,115641,40-44,M,29,19603,4,5.279999971,1,1,6/29/2015,Texas,9.99,Tom,Ad Group A,Campaign 3
77582,312,115675,40-44,M,24,3047,1,1.379999995,1,0,6/30/2015,Florida,9.99,Jess,Ad Group E,Campaign 1
77598,312,115677,35-39,M,24,3029,1,1.049999952,1,1,7/1/2015,Washington,9.99,Tina,Ad Group A,Campaign 3
77610,312,115679,45-49,M,26,3490,1,1.340000033,1,1,7/2/2015,New York,9.99,Tina,Ad Group B,Campaign 2
77695,312,115693,40-44,M,19,19581,7,10.42999983,2,0,7/3/2015,California,9.99,Jess,Ad Group D,Campaign 1
77719,312,115697,45-49,M,29,19537,5,6.099999905,1,0,7/4/2015,Oregon,9.99,Tom,Ad Group D,Campaign 1
77825,312,115715,45-49,M,16,59433,12,19.65999949,3,0,7/5/2015,California,9.99,Jess,Ad Group B,Campaign 2
77827,312,115715,45-49,M,16,157534,33,56.19000077,2,0,7/6/2015,Oregon,9.99,Tom,Ad Group D,Campaign 1
77870,312,115723,40-44,M,16,23769,4,6.029999852,1,0,7/7/2015,Texas,9.99,Jess,Ad Group D,Campaign 1
77942,312,115735,35-39,M,64,4726,1,1.830000043,1,1,7/8/2015,Washington,9.99,Tina,Ad Group A,Campaign 3
77958,312,115737,30-34,M,19,5209,1,0.959999979,2,0,7/9/2015,New York,9.99,Tina,Ad Group E,Campaign 1
77994,312,115743,30-34,M,18,13473,3,2.619999945,3,0,7/10/2015,California,9.99,Jess,Ad Group A,Campaign 3
78071,312,115756,30-34,M,20,4616,1,1.360000014,1,0,7/11/2015,Oregon,9.99,Tom,Ad Group B,Campaign 2
78237,312,115784,35-39,M,27,14615,4,6.050000191,1,0,7/12/2015,Main,9.99,Jess,Ad Group D,Campaign 1
78248,312,115786,30-34,M,27,56615,12,19.88000035,2,0,7/13/2015,New York,9.99,Tom,Ad Group D,Campaign 1
78285,312,115792,30-34,M,26,11735,3,4.529999971,1,1,7/14/2015,South Carolina,9.99,Jess,Ad Group B,Campaign 2
78287,312,115792,30-34,M,26,15910,5,6.779999852,1,0,7/15/2015,California,9.99,Tina,Ad Group D,Campaign 1
78312,312,115796,35-39,M,29,11446,2,3.090000033,1,1,7/16/2015,California,9.99,Tina,Ad Group D,Campaign 1
78356,312,115804,30-34,M,28,9388,2,3.140000105,1,0,7/17/2015,Texas,9.99,Jess,Ad Group A,Campaign 3
78361,312,115804,30-34,M,28,17954,6,7.5400002,2,1,7/18/2015,Florida,9.99,Tom,Ad Group E,Campaign 1
78464,312,115822,40-44,F,27,8152,1,0.99000001,1,0,7/19/2015,Washington,9.99,Jess,Ad Group A,Campaign 3
78466,312,115822,40-44,F,27,74542,19,34.1500001,1,0,7/20/2015,New York,9.99,Tom,Ad Group B,Campaign 2
78621,312,115848,40-44,F,20,6699,2,3.090000033,1,0,7/21/2015,California,9.99,Jess,Ad Group D,Campaign 1
78622,312,115848,40-44,F,20,11911,4,3.959999919,1,0,7/22/2015,Oregon,9.99,Tina,Ad Group D,Campaign 1
78661,312,115854,40-44,M,29,10090,2,2.650000095,1,1,7/23/2015,California,9.99,Tina,Ad Group B,Campaign 2
78683,312,115858,40-44,F,18,24188,5,8.179999828,1,0,7/24/2015,Oregon,9.99,Jess,Ad Group D,Campaign 1
78756,312,115870,40-44,M,32,9735,4,4.130000114,1,1,7/25/2015,Texas,9.99,Tom,Ad Group D,Campaign 1
78800,312,115878,40-44,F,22,10750,4,5.389999866,1,0,7/26/2015,Washington,9.99,Jess,Ad Group A,Campaign 3
78826,312,115882,30-34,M,29,7629,1,0.720000029,1,1,7/27/2015,New York,9.99,Tom,Ad Group E,Campaign 1
78889,312,115892,30-34,M,28,7453,1,1.679999948,1,1,7/28/2015,California,9.99,Jess,Ad Group A,Campaign 3
78922,312,115898,35-39,F,64,41785,14,19.10000038,1,0,7/29/2015,Oregon,9.99,Tina,Ad Group B,Campaign 2
78937,312,115900,35-39,M,27,8077,2,3.579999924,1,1,7/30/2015,Main,9.99,Tina,Ad Group D,Campaign 1
78956,312,115904,35-39,F,63,5602,1,1.580000043,1,0,7/31/2015,New York,9.99,Jess,Ad Group D,Campaign 1
79004,312,115912,30-34,M,26,6184,2,2.75,1,1,8/1/2015,South Carolina,9.99,Tom,Ad Group B,Campaign 2
79164,312,115938,35-39,F,27,112460,25,41.29000068,1,0,8/2/2015,California,9.99,Jess,Ad Group D,Campaign 1
79306,312,115962,35-39,F,30,14670,7,9.410000324,1,0,8/3/2015,California,9.99,Tom,Ad Group D,Campaign 1
79638,312,116031,30-34,F,64,33144,9,13.40999985,1,0,8/4/2015,Texas,9.99,Jess,Ad Group A,Campaign 3
79653,312,116033,45-49,M,64,4397,1,0.949999988,1,0,8/5/2015,Florida,9.99,Tina,Ad Group E,Campaign 1
